mjneen;dias hábiles
nxu'wé;tener sed
pa;también
pakx;pues
pakhe; trama de telar
pakwe;buscar
pakwesaa;buscar
paçx;rasguñar
paçxii;rasguñar
paçxi'çx;rasguñar
paçx;agarrar con las uñas
pakay;mirar hacia arriba
pakayu;mirar hacia arriba
pakayu'yu;mirar arriba
pahde;zafar
pade;zafar
pahz;cuatro
pahzkhewe'sx;cuarto
pajx;ahuyentar
pajxii;ahuyentar
paal;sacerdote
pad;barrer
padu;barrer
padede;desconectar
padsa;el que barre
pag;fractura
paguu;fracturar
pagu;asiento
panu'j;hacer pan
panu'ju;hacer pan
paluul;abuelo
pas;contestar
pasu;contestar
pasiaa;pasear
pasni;contestación
passa;contestador
pasu's;contestar
pate;desconectarse
patee;desconectarse
patxu;patio
paçu;derecha
paayaa;papaya
paayaate ne'jwe'sx;gobernador del cauca
payla;paila
paypwesa'j;juguetón
paythame;tímido
pakh;semilla
pa';dizque
pa'ksxa'w;soñar
pa'tx;cucharear
pa'ti;cucharear
pa'çx;taparse
pa'çxi;taparse
pa'çxnisa;pañuelo
pa'çxnisa;frazada
pa'ka;a causa de
pa'ka;precio
pa'kamee;barato
pa'kasa;costoso
pa'ka yuu;ponerse caro
pa'j;llegar a ser
pa'ja;llegar a ser
pa'j yat;posada
pa'jni;posada
pa'jsa;visitante
pa'jwa'j;llegada futura
pa'jx we'we;sátira
pa'pçxu;procurar
pa'txi'tx;servir la comida
pa'ya;llamar
paana;negar
paad;correas
paaduu;atravesar vara
paadeh;hospedarse
paadehe;hospedarse
paadewe;pagar deuda de otro
paadee yat;posada
paadeesa;huésped
paadlee;árbol
paadukh;intercambiar
paanwe'we;defender
paanxusu;compartir la tristeza con otro
paapeçxkanu;ser olvidadizo
paapéykáh;compartir el dolor con otro
paapéy;preguntar
paapéyí;investigar
paasxihka;compartir la risa
paasxika;compartir la risa
paatez;apretar
paatezu;apretar
paath;introducir
paathee;introducir
paathe;recibir
paathee;recibir
paatheg;hacerse cargo de
paathegu;hacerse cargo de
paatuudx;brindar por alguien
paatuudxii;brindar por alguien
paaçte;desapercibidamente
paaçuu;esconderse
paawnu;desconocer
paautxa;acercarse
paau'j;ir en favor de
paau'jsa;acompañante
paauu;morir por alguien
paaü'kh;moler donde la vecina
paaü'khu;moler donde la vecina
paaü'ne;compartir la tristeza
paaü'we;compartir la comida
paaüukhsa;miedoso
paaüukhwete;por miedo
paawe'we;encargar algo
paawe'weni;encargo
paawe'wesa;persona que encarga
paaya'dukh;entregarse voluntariamente
paaya'dukhe;entregarse voluntariamente
paay;observar
paayuu;observar
paayuh;acompañar
paayuusa;acompañante desinteresado
paayüs;compartir tristeza
paayüsu;compartir tristeza
pápa;dar paliza
pá'kh;remendar
pá'pa;pulga
páatxhí'kh;demandar
páatxhíkhe;demandar
pkaaka;sobrino
pkaçx;hasta
pkaçxha';mientras
pkaçxte; en vez de
pkaal;pecar
pkaalsa;pecador
pkaalte wete;haber pecado
pkaab; regar la sopa
pkaabu;regar la sopa
pkaabnisa;hilos del telar
pkaaw;derramar un líquido
pkaawu;derramar un líquido
pkáasx;trigo no seca
pkáasxi;trigo no seca
pkhakh;recoger
pkhakhe;recoger
pkhakheni;reunión
pkhi'kh;lavar
pkhi'khi;lavar
pçxaga;yerba
pçxaazxa;comida llevada de la minga
pçxazxa;comida llevada de la minga
pçxazxaa;comida llevada de la minga
pçxath;atravesar palos
pçxathe;atravesar palos
pçxa'kx;arrayán
pçxiime'j;blanquear
pçxiime'je;blanquear
pçxí';mecha
pçxhí'çxh;lavar la cara
pçxhí'çxhi;lavar la cara
pkxuu;maltratar
pkxuuni;maltrato
pkxuusaa;maltratador
pkxuuwe'we;ultrajar
pkxuwe'weni;maltrato
pdeepihç;casada
pdoou'y;casado
pdxi'p;cara a cara
pdxi'pu;encarar
pekwe;dar paliza
pekweni;paliza
pekwesa; el que da paliza
pekwe'kwe;dar palizas
peku'j;alrededor
peku'jtewe'sx;vecinos
peçxkanu;olvidar
peçxkanuni;olvido
peçxkanusa;el que olvida
peçxu;pecho
peçxuhkwe;castigar
peçxuukwe;castigar
pehka;siempre
pehna;multiplicarse
pena;multiplicarse
pehd;nadar
pedu;nadar
pehtxa;pegar
petxa;pegar
pejx;necesitar
pejxi;necesitar
pel;enrollar
pelu;enrollar
pelkatxi;alpargata
peltunay;perdonar
pelu'lu;revolcarse
peba;acabar
pebaa;acabar
pebasaa;destructor
pebee;gritar
pebe'be;quejarse
peme'j;arreglar la olla
peme'je;arreglar la olla
ped;raya
peda;enterrar
pedaa;enterrar
pedani;enterrado
pedani kafx;fosa
peezx;mujer vieja
peezxxi;volverse vieja
peezxweete;vejez femenina
pepx;grueso
pesa'j;venir del otro lado
pesa'ja;venir
pesa'ja'ja;pasar varias veces
pesath;posición horizontal
pesay;mirar del otro lado
pesayu'yu;mirar ai otro lado repetidas veces
peskal;fiscal del cabildo
peesu;peso moneda
peswe;robar
peswee;robar
pesweeni;robado
peswee;ladrón
pete;usado
petx;inclusive
petx kwet;pedernal para prender candela
petxatxa;dar bofetadas
petxhí'j;sacar muesca
petxhí'jni;muesqueado
peç;delgado
peçhate;astillarse
peçhatesa;astilla
peçhuçhu;partir en varias partes
pe'j;llevar consigo
pe'je;llevar consigo
pe'jna u'jsa;guía
pe'la;pedazo de carne
pe'lade;despedazar
pe'late;hacerse pedazos
pe'ltede;varios pedazos
pe'ltete;hacerse pedazos
pe'pe;cerebro
pe'te;amanecer
pe'ç;sudor
pe'ç;sudar
pe'çu;sudar
pe'çe;masticar
pe'w;pedir regalado
pe'wu;pedir regalado
pe'ya;sobra
peekawu;el sacerdote unge con agua
peekhakhe;unirse
peekhikh;alumbrar a otro
peekupxh;metamorfosearse
peekx;por si mismo
peekxdxiki;almohada
paekxtutxh;boca abajo
peefxne's;saltar una cadena
peefxnihkx;sustraer
peefxniki;sustraer
peejxini;necesidad
peejxúkwe;arrodillarse
peena;repetidamente
peena;repetir
peenana;repetir varias veces
peeda;ocultar
peedaa;ocultar
peedu'j;hacer rayas
peedu'ju;hacer rayas
peedu'jni;rayado
peepah zek;filo
peekize;recostarse
peekizee;recostarse
pees;regalar
peesu;donar
peeskatxhí'j;avivar el fuego
peeskatxhí'a;avivar el fuego
peesni;regalo
peessa;el que regala
peesus;regalar
peesusu;regalar
peetam;pareja
peetezu;estar apretado
peethe;calabaza
peethéh;dar sabor
peethegu;espía
peethegu'j;espiar
peethénisa;condimentado
peeçtxha';hoja de mejicano
peeçuhç;suegra
peeçu'j;terminar un trabajo
peeçu'ju;terminar un trabajo
peevxisxa;persuadir
peevxisxa'j;economizar
peevxisxa'ja;economizar
peevxya'j;enseñar
peevxya'ja;enseñar
peevxya'jsa;maestro
peeykáh;apreciar
peeykáha;apreciar
peeykáani;amor
peeykáasa;el que ama
peeykaawá'j;amor
peeykáaweete;amor profundo
peeyukwe;tía materna
péhy;pedir
peyí;pedir
pétxh;garganta
pétxh aphni;ronco
pétxh;derribar
péw;bañarse
péwuu;bañarse
péyni;pedido
péysa;pedir
pé'the;hacer trocha con el machete
pé'tjesa;pendiente
pé'thni;trochado
pé'çhuçh;rociar
pé'çhuçhu;rociar
pika;pico
pikas;viga
piçgxa;anguila
pihç;macho
pil;canilla
pil tutxh;pantorilla
pilwe'sx;médico nasa
pizuu;aliso
pizx;roble
pizx;picadura
pisxi'j;hacer muescas
pizxi'ji;hacer muescas
pipxsxavx;pijao
pisku;pisco
pisun;pisón
pisx;sentarse
pisxi;sentarse
piçkwé;muchacho
piç pyakh;concuñado
piçtakx;joven
piçthé'j;hombre adulto
pyüun;peón
piya;aprender
piyaa;aprender
pi'tx;invitar
pi'txi;invitar
pi'kxna u'j;acompañar
pi'kx nasa;gente de la minga
pi'kx yat;casa de la minga
pi'pi;junco
pi'ki;compañero
pi'ki;compañera
pi'txi'tx;invitar a varias personas
pi'ki'ki;invitar a varias personas
piikhe;matón
piinaa;pepino
piisa;dibujar
piisanas;dibujo
piisani;dibujado
piisxaa;oveja
piisxaa kxuphni;corral para ovejas
piisxaa thegsa;pastor de ovejas
píiçh;sonarse las narices
píiçhu;sonarse las narices
phaçx;empapar
phaçxi;empapar
phade;abrir
phaph;planta de pie
phaate;abrirse
phatete;abrirse repetidas veces
phay;chistoso
phay we'we;bromear
pháhá;toser
pháhá'ja;toser repetidas veces
phewu'j;arreglar
pheu'ju;arreglar
pheelu;cari blanco
phiiw;encontrar algo
phiiwuu;encontrar algo
phulaí;remendar
phulaíi;remendar
phuph;proteger
phuphaa;proteger
phu'se'j;renovar
phu'jse'je;renovar
plaad;plátano
plaad íç;plátano maduro
plaad íç'h;racimo
plaad eh;platanal
plaad eh;platanera
plavxi'j;pulir
plavxi'ji;pulir
pláyni;pelado
plaí;pelar maíz
phlenu;freno
pleeku'k;soledad
phlxaana';ácido
plxiisatu;tejido grueso
pnasaa;sombra
pkiphaa;boca abajo
pkivx;derretirse
pkivxi;derretirse
pki'j;prestar
pki'ja;prestar
pki'se;mordedura de culebra
pki'ta;encender el fuego
pki'tanisa;lámpara
pkiida;guayaba
pkíh;traspasar
pkíiha;traspasar
preesu;preso
preesu'j;apresar
psuw;malgastar
psuwuu;malgastar
psxa'd;abrazar
psxa'du;abrazar
psxiika;risueño
psxidx;ser llorón
psxidxii;ser llorón
psxi'd;remedar
psxi'du;remedar
psxü'ju;hacer sobra
psxüu;sombra
psxüu;hacer sombra
ptaam;pareja
ptaamu een;boda
ptaamuu;casarse
pta'z;mugre
pta'zu'j;contaminar
pta'zu'ju;contaminar
pta'sx;avisar
pta'sxi;avisar
pta'sxi'sx;avisar
pta'sxi'sxi;avisar
pta'sxni;aviso
pta'sxsa;el que avisa
pteez;angosto
pteezu;tijeras
ptezuu;tomarse
pthaawé;hacer daño
pthaawésa;persona que hace daño
pthuhk;apretar manos
pthuku;apretar manos
pthüuse;hacer sonidos
ptxhide;interrumpir
ptxhide;interrumpir
ptxuute;dividirse
ptxuutee;dividirse
pçuu;morirse
puka;insecto
puka;cerca de
pukakhe dxiy;primo
pukakhe pdxiy;prima
pukakhe dxi'sx;primo con respecto a la prima
pukakhe npe'sx;prima con el primo
pukakhe nçu'm;esposo de la prima
pukakhe nçhu'wa;esposa del primo
pukakhe nyaakh;primo
pukakhe pyaakh;primo con prima
pukakwet;mejilla
pukx;inclinado
puii;pelear
puii jxpakwesa;peleador
puiini;pleito
puiisa;el que pelea
puii we'we;buscar pelea
puhb;botar
pubu;botar
pu'de;ofrendar
pu'de'j;ofrendar
pulxu;tamal
pulxu;envuelto
puba'j;cavar
puba'ja;cavar
puba'jni;bóveda
pu'bubu;regar repetidas veces
pume;entender
pumee;entender
pud;hilar
pudu;hilar
puga;vómito
puga wee;colerín
puga;vomitar
pugaa;vomitar
puga'ga;vomitar repetidas veces
puza;rincón
puza kafx;sobaco
pus;fermentarse
pusuu;fermentarse
pusni;tendido
puta;oler
putaa;oler
puta txhá'j;hierba buena
puth;soplar
puthaa;soplar
putha'th;soplar repetidas veces
putha'tha;solar repetidas veces
putu;atragantarse
puç;el borde
puçpuç;mas al lado
puçu;gancho
pu'çxh;ayudar
pu'çxhi;ayudar
pu'çxhi'çxh;compartir
pu'çxhi'çxhi;compartir
pu'çxhni;ayuda
pu'çxhsa;ayudante
pu'çxhwa'jsa;el que va a ayudar
pu'ynene;brillar
pu'ikhéw;encontrarse con otro en el camino
pu'ikhéuu;encontrarse con otro en el camino
pu'ze'j;dar sombra
pu'ze'je;dar sombra
pu'kis;alzar
pu'kisu;levantar
pu'kisu's;levantar
pu'kisu'su;levantar
pu'kith;hacer resistencia
pu'kithe;hacer resistencia
pu'tata;palpar
pu'theg;salir con alguien
pu'thegu;salir con alguien
pu'uwe;atrapar
pu'vxitu;descuidar
pu'yakh;reemplazar
pu'yakhe;reemplazar
pu'yakhsa;reemplazo
puuple;pobre
puuple yuu;emprobecerse
puukiiwe;empezar
puutehka;superar
puutx;reciprocamente
puutx ihka;chocar
ppuutx iika;chocar
puutx puii;pelearse
puutx txutee;separarse
puutx uy;reencontrarse
puutx uyuu;reencontrarse
puutx üusçxaa;enojarse
puutx we'we;conversar
puutx we'weni;conversación
puutx ya'kvxisxa'j;consolarse
puutx ya'kvxisxa'ja;consolarse
puutx ya'pkxuu;hacerse daño
puutx ya'peltunáy;perdonarse
puutx ya'peykáh;quererse
puutx ya'peykáha;quererse
puutx ya'pthawé;agredirse
puutx ya'pu'çxh;ayudarse
puutx ya'ppu'çxhi;ayudarse
puutx ya'selpii;apoyarse
puutx yahçe;odiarse
puuç;alimentar
puuçu;alimentar
puuçsa;persona que da de comer
puuçuç;repatir alimentos
puuçuçu;repatir alimentos
puuvxyáhn;mitad
püpx;juntar
püpxi;juntar
püsx;distribuir
püsxi;distribuir
pü'txh;comenzar
pü'txhi;comenzar
pü'wé;glotón
pü'wé;comer mucho
pwa';corredor
pwa'ja';construir un corredor
pwa'ja'ja;construir un corredor
pweel;cubios
pwe'sx;personas del mismo grupo
pweesa'j;jugar
pweesa'ja;jugar
pjxahçe;asquear
pxáh;celar
pxáha;celar
pxáh;mitad
pxán;medio
pxáhtewe'sx;del medio
pxthaa;pobre
pxthaakwe;pobre
pxthaa we'we;rogar
pxthaa yaakx;pensar mucho
pxthaa yuu;sufrir
pyüskwe;rabia
pyüskwe;dar rabia
pyüskwe yaakxni;rencor
sakwe;vara del telar
sakweekwe;sacudir
sahkwe;sacudir
sakwe;sacudir
sagistan;sacristán
sap;sapo
sapatu;sábado
sapete;rey del gallinazo
sa';entonces
sá'j;desmontarse
sa'ja;desmontarse
sa't;cacique
sa'te;cucaracha
saapahtx;caerse
saapatxi;caerse
saatilx;zarco
sá'jí;alimentar
sba'kwe;planta kujaco
skaad;envolver
skaaduu;envolver
skatxhí'j;avivar la candela
skatxhí'ja;avivar la candela
skhéw;pasar hacia abajo
skhéwu;pasar hacia abajo
skhéwsaa;el que pasa
skhéwwa'jsa;pasajero
skwela;escuela
skwela luuçx;estudiante
skupeta;escopeta
skuupx;mudar la piel
skuutxh;trigo
skuutxh kha'tx;cáscara de trigo
skuutxh fxiw;semilla de trigo
skuutxh tud;manojo de trigo
skuutxh eh;trigal
sda'da;producir ruido
sdaada;zimbar
sek;sol
sek káh;salir el sol
sek káaniju;oriente
sek káaniju;este
sek khé ju'gu;occidente
sek khé ju'gu;oeste
sek khée;ponerse el sol
sek een;verano
sek paaçu;ocultarse el sol
sek sxi'dx;oscurecerse el sol
sek uu;eclipse de sol
sekkwet;chicharra
sekuu;verano
sekuu;hacer sol
sela;cera
selpii;servir
selpisaa;siervo
sebu'j;hacer trenzas
sebu'ju;hacer trenzar
sede kuvx;zampoñas
sede'de;enfilarse
sedx;mezquino
sedx;ser mezquino
sedxi;ser mezquino
sedx yuu;volverse mezquino
sepu;sebo
seetlu;cedro
se'se;ponerse ronco
se'w;insertar
seelpimeesa;inutil
seelpisa;servible
seena';terrible
seena'sa;cosa horrible
séh;bajar
séhe;bajar
sé'j;barbasco
sé'j;fingir
sé'je;fingir
sielu;cielo
siete;siete
sizxa;pretina
syüla;mujer blanca
syüla kna'sa;señorita blanca
sla'txi;resbalarse
slenu;sereno
slun;surrón
